s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,0.2985288,0.5926084,-2.2446389,0.5541643,3.0000000,0.0000000
0.1995680,0.4625942,0.4753478,-2.1410371,0.4647066,3.0000000,0.0000000
0.3991360,0.6343383,0.3752853,-2.0581772,0.3853116,3.0000000,0.0000000
0.5987040,0.8126179,0.2888168,-1.9890977,0.3195367,3.0000000,0.0000000
0.7982720,0.9972795,0.2136159,-1.9264694,0.3040485,3.0000000,0.0000000
0.9978401,1.1854038,0.1501176,-1.8657354,0.3123857,3.0000000,0.0000000
1.1974081,1.3777135,0.0982150,-1.8028630,0.3193040,3.0000000,0.0000000
1.3969761,1.5744630,0.0583736,-1.7381572,0.3236255,3.0000000,0.0000000
1.5965441,1.7709207,0.0315550,-1.6751587,0.3121555,3.0000000,0.0000000
1.7961121,1.9698074,0.0168703,-1.6146365,0.2888623,3.0000000,0.0000000
1.9956801,2.1708788,0.0136870,-1.5596012,0.2594835,3.0000000,0.0000000
2.1952481,2.3688075,0.0206549,-1.5132634,0.2096308,3.0000000,0.0000000
2.3948161,2.5683090,0.0360453,-1.4759705,0.1595550,3.0000000,0.0000000
2.5943842,2.7667872,0.0577341,-1.4497836,0.1040003,3.0000000,0.0000000
2.7939522,2.9643739,0.0835338,-1.4334182,0.0641093,3.0000000,0.0000000
2.9935202,3.1629047,0.1120623,-1.4237907,0.0324424,3.0000000,0.0000000
3.1930882,3.3594216,0.1415976,-1.4204959,0.0009437,3.0000000,0.0000000
3.3926562,3.5575598,0.1714194,-1.4233082,-0.0286995,3.0000000,0.0000000
3.5922242,3.7545504,0.1999222,-1.4318225,-0.0566077,3.0000000,0.0000000
3.7917922,3.9527958,0.2263320,-1.4455809,-0.0749662,3.0000000,0.0000000
3.9913602,4.1508617,0.2497659,-1.4604576,-0.0743139,3.0000000,0.0000000
4.1909283,4.3496446,0.2703021,-1.4751291,-0.0706279,3.0000000,0.0000000
4.3904963,4.5484836,0.2880191,-1.4884852,-0.0633129,3.0000000,0.0000000
4.5900643,4.7477650,0.3032371,-1.5004327,-0.0561021,3.0000000,0.0000000
4.7896323,4.9468852,0.3161992,-1.5109152,-0.0490434,3.0000000,0.0000000
4.9892003,5.1466568,0.3272417,-1.5199727,-0.0412122,3.0000000,0.0000000
5.1887683,5.3455653,0.3365954,-1.5273699,-0.0330824,3.0000000,0.0000000
5.3883363,5.5459290,0.3446974,-1.5330714,-0.0235511,3.0000000,0.0000000
5.5879043,5.7443442,0.3517875,-1.5367437,-0.0127117,3.0000000,0.0000000
5.7874724,5.9453215,0.3585506,-1.5366832,0.0138669,3.0000000,0.0000000
5.9870404,6.1439881,0.3658034,-1.5306495,0.0558036,3.0000000,0.0000000
6.1866084,6.3434114,0.3754263,-1.5119543,0.1325282,3.0000000,0.0000000
6.3861764,6.5418765,0.3902023,-1.4794111,0.1829769,3.0000000,0.0000000
