x,y,yaw,curvature,speed
7.386585,3.809878,-2.441827,2.167587,1.000
7.317569,3.737819,-2.215976,2.407058,1.000
7.267442,3.651574,-2.006507,1.829614,1.000
7.233640,3.557539,-1.876656,0.785416,1.000
7.207289,3.461077,-1.849906,-0.248895,1.000
7.178551,3.365316,-1.900911,-0.772398,1.000
7.142521,3.272058,-1.963287,-0.476477,1.000
7.102085,3.180604,-2.011330,-0.485069,1.000
7.057273,3.091231,-2.062660,-0.542197,1.000
7.007682,3.004407,-2.140392,-1.016581,1.000
6.949640,2.923160,-2.283000,-1.854975,1.000
6.877774,2.853941,-2.458175,-1.676236,1.000
6.795368,2.797531,-2.594187,-1.060111,1.000
6.707379,2.750078,-2.681740,-0.695730,1.000
6.616301,2.708846,-2.781036,-1.297047,1.000
6.520755,2.679714,-2.932591,-1.751859,1.000
6.421613,2.667552,-3.068827,-0.987957,1.000
6.321654,2.665201,-3.128860,-0.215844,1.000
6.221654,2.665006,-3.140479,-0.016577,1.000
6.121654,2.664978,-3.138968,0.046798,1.000
6.021656,2.664481,-3.117473,0.383307,1.000
5.921772,2.660156,-3.042299,1.124211,1.000
5.823063,2.644697,-2.930522,1.117740,1.000
5.726630,2.618344,-2.862571,0.245177,1.000
5.630844,2.589627,-2.865860,-0.310937,1.000
5.534217,2.563903,-2.893359,-0.239139,1.000
5.436998,2.540495,-2.929573,-0.485594,1.000
5.338791,2.521837,-2.978451,-0.492492,1.000
5.239754,2.508028,-2.983464,0.391993,1.000
5.141346,2.490352,-2.968179,-0.086182,1.000
5.042811,2.473529,-3.020944,-0.971579,1.000
4.943128,2.466321,-3.097705,-0.566306,1.000
4.843143,2.464760,-3.118382,0.152102,1.000
4.743208,2.461680,-3.069625,0.824734,1.000
4.643911,2.450397,-3.006343,0.442524,1.000
4.545173,2.434731,-3.056872,-1.463445,1.000
4.445480,2.433545,3.071697,-1.645444,1.000
4.346661,2.448629,3.003857,0.274816,1.000
4.247489,2.460990,3.061648,0.882753,1.000
4.147575,2.464579,3.121622,0.318763,1.000
4.047576,2.464982,3.139485,0.038634,1.000
3.947576,2.465000,3.141450,0.000661,1.000
3.847576,2.465011,3.140144,-0.026793,1.000
3.747577,2.465290,3.126029,-0.255582,1.000
3.647636,2.468123,3.065701,-0.953915,1.000
3.548512,2.480426,2.944992,-1.470598,1.000
3.452247,2.507040,2.802445,-1.395551,1.000
3.360569,2.546729,2.664184,-1.383403,1.000
3.275181,2.598640,2.541150,-1.086984,1.000
3.195868,2.659513,2.488899,0.038531,1.000
3.116326,2.720078,2.504789,0.279358,1.000
3.035110,2.778408,2.474038,-0.896402,1.000
2.959477,2.843719,2.388133,-0.824453,1.000
2.889422,2.915075,2.342600,-0.087949,1.000
2.819998,2.987043,2.316849,-0.427290,1.000
2.753713,3.061907,2.289728,-0.115310,1.000
2.688290,3.137535,2.294047,0.201701,1.000
2.621359,3.211825,2.337603,0.670428,1.000
2.549641,3.281438,2.476449,2.133657,1.000
2.465159,3.334345,2.692224,2.228027,1.000
2.370992,3.367597,2.847806,0.914810,1.000
2.274071,3.392158,2.935278,0.839206,1.000
2.175484,3.408515,3.031254,1.084772,1.000
2.075684,3.414137,3.109391,0.481563,1.000
1.975690,3.414951,3.137279,0.076640,1.000
1.875690,3.414999,3.141348,0.004742,1.000
1.775690,3.415000,3.141589,0.000072,1.000
1.675690,3.415000,3.141593,-0.000000,1.000
1.575690,3.415000,3.141593,0.000000,1.000
1.475690,3.415000,3.141593,-0.000000,1.000
1.375690,3.415000,3.141593,0.000000,1.000
1.275690,3.415000,3.141593,-0.000000,1.000
1.175690,3.415000,3.141593,-0.000000,1.000
1.075690,3.415000,3.141593,0.000000,1.000
0.975690,3.415000,3.141593,-0.000000,1.000
0.875690,3.415000,3.141593,0.000000,1.000
0.775690,3.415000,-3.141490,0.002050,1.000
0.675690,3.414980,-3.139190,0.043948,1.000
0.575692,3.414520,-3.119250,0.355037,1.000
0.475794,3.410512,-3.050533,1.022419,1.000
