s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.00000000,0.86274246,0.42827302,-0.83179272,0.35767659,4.37627580,4.93477959
0.04981781,0.89662405,0.39175109,-0.81422698,0.34741353,4.43203370,4.92401358
0.09965145,0.93114372,0.35580968,-0.79731133,0.33160559,4.48698910,4.91358302
0.14948024,0.96624914,0.32044702,-0.78083779,0.32952305,4.54117140,4.90368133
0.19931469,1.00193453,0.28566161,-0.76457362,0.32325881,4.59460820,4.89373789
0.24914549,1.03817298,0.25145805,-0.74833088,0.32865415,4.64732530,4.85802706
0.29897200,1.07496351,0.21785540,-0.73185334,0.33268459,4.69878380,4.71435618
0.34880181,1.11230848,0.18486504,-0.71501865,0.34309862,4.74731190,4.34775788
0.39861978,1.15020291,0.15252556,-0.69769547,0.35218183,4.79004480,3.87781018
0.44845025,1.18866860,0.12084803,-0.67996113,0.35975421,4.82798290,3.42021913
0.49827101,1.22768831,0.08987109,-0.66175140,0.37110025,4.86063930,2.95736719
0.54810185,1.26728211,0.05961478,-0.64309441,0.37779707,4.88861410,2.54405159
0.59793003,1.30743631,0.03011075,-0.62393949,0.39115361,4.91250220,2.16525588
0.64773990,1.34814283,0.00140532,-0.60426185,0.39861852,4.93253100,1.82600264
0.69757242,1.38943015,-0.02649875,-0.58409118,0.41138834,4.94938940,0.15170291
0.74736851,1.43125001,-0.05353114,-0.56343346,0.41770411,4.93558470,-1.75358661
0.79719848,1.47365208,-0.07970536,-0.54234450,0.42927627,4.91399280,-2.07154356
0.84699652,1.51657662,-0.10495075,-0.52081308,0.43501938,4.89358550,-1.98190590
0.89681310,1.56005422,-0.12926925,-0.49889090,0.44537497,4.87364880,-1.90011258
0.94661467,1.60404730,-0.15261031,-0.47655059,0.45164425,4.85474690,-1.80696021
0.99641632,1.64855430,-0.17495604,-0.45385921,0.45965231,4.83657600,-1.72304822
1.04621307,1.69355667,-0.19627510,-0.43076463,0.46795210,4.81926460,-1.61818674
1.09599741,1.73903218,-0.21653486,-0.40733950,0.47303570,4.80313920,-1.51404570
1.14577527,1.78496616,-0.23571572,-0.38352326,0.48395720,4.78788060,-1.39755697
1.19553501,1.83133189,-0.25377815,-0.35933393,0.48805573,4.77408470,-1.28825233
1.24529803,1.87812566,-0.27071039,-0.33481517,0.49751673,4.76102510,-1.19867656
1.29504663,1.92531054,-0.28647462,-0.30990280,0.50391909,4.74903080,-1.08532497
1.34478778,1.97286860,-0.30104901,-0.28469444,0.50965120,4.73828810,-0.96722639
1.39452005,2.02077223,-0.31441090,-0.25921085,0.51514410,4.72872530,-0.82783157
1.44424431,2.06899465,-0.32653940,-0.23354181,0.51729191,4.72087680,-0.66579567
1.49395974,2.11750442,-0.33742179,-0.20776002,0.51973179,4.71470110,-0.51642581
1.54367808,2.16628202,-0.34704775,-0.18193330,0.51927323,4.70998530,-0.44700158
1.59338855,2.21528408,-0.35541008,-0.15616212,0.51742570,4.70526480,-0.41994155
1.64310296,2.26448892,-0.36250985,-0.13053082,0.51370096,4.70111170,-0.31421266
1.69282009,2.31386172,-0.36835108,-0.10513068,0.50808410,4.69861900,-0.13090149
1.74253739,2.36336647,-0.37294338,-0.08008104,0.49935486,4.69834150,0.11407086
1.79227656,2.41299181,-0.37630653,-0.05547807,0.49016747,4.70103370,0.37872095
1.84201082,2.46267948,-0.37845873,-0.03141549,0.47718448,4.70635520,0.64984338
1.89176826,2.51242742,-0.37943138,-0.00804116,0.46246702,4.71477130,0.94032024
1.94153433,2.56219318,-0.37925895,0.01458419,0.44670651,4.72620430,1.25216349
1.99131774,2.61196015,-0.37797967,0.03638101,0.42896771,4.74114600,1.59711867
2.04111623,2.66170352,-0.37563707,0.05729831,0.41113289,4.75974980,1.95458358
2.09092583,2.71139956,-0.37227572,0.07729187,0.39158177,4.78204990,2.32992678
2.14075614,2.76104122,-0.36794375,0.09631424,0.37202490,4.80829670,2.71685838
2.19059054,2.81059810,-0.36269183,0.11433780,0.35118282,4.83836400,3.09123593
2.24044638,2.86007675,-0.35657064,0.13129871,0.32934488,4.87198890,3.45572518
2.29030423,2.90945019,-0.34963758,0.14718495,0.30778389,4.90909140,3.83298794
2.34018463,2.95873370,-0.34194405,0.16195141,0.28438905,4.94986390,4.22967714
2.39007126,3.00790925,-0.33355111,0.17557334,0.26167606,4.99434270,4.61741056
2.43997347,3.05698635,-0.32451403,0.18802300,0.23731108,5.04212150,4.79959825
2.48988694,3.10596402,-0.31489418,0.19927474,0.21355732,5.08935730,4.78905903
2.53980803,3.15484383,-0.30475122,0.20930611,0.18831556,5.13606530,4.77849697
2.58974152,3.20363824,-0.29414650,0.21807834,0.16307981,5.18226010,4.76822300
2.63967718,3.25234678,-0.28314432,0.22557124,0.13699601,5.22795540,4.75799214
2.68962475,3.30099051,-0.27180643,0.23174864,0.11039837,5.27316440,4.74803478
2.73956915,3.34956789,-0.26020124,0.23658923,0.08341952,5.31789960,4.73825366
2.78952218,3.39810488,-0.24839170,0.24006869,0.05590772,5.36217310,4.72850605
2.83947192,3.44660552,-0.23644745,0.24218372,0.02877286,5.40599650,4.71903609
2.88942478,3.49509196,-0.22443275,0.24297788,0.00302529,5.44938070,4.70941146
2.93937791,3.54357685,-0.21241065,0.24253179,-0.02088686,5.49233630,4.70011007
2.98932780,3.59207112,-0.20043993,0.24095116,-0.04240405,5.53487350,4.69104753
3.03927328,3.64058634,-0.18857299,0.23834457,-0.06197100,5.57700200,4.68189459
3.08921783,3.68913715,-0.17685649,0.23483324,-0.07864969,5.61873120,4.67293001
3.13915425,3.73772570,-0.16533265,0.23053359,-0.09353749,5.66007000,4.66382085
3.18909326,3.78637007,-0.15403532,0.22556748,-0.10537738,5.70102720,4.65487188
3.23902124,3.83506245,-0.14299653,0.22005690,-0.11532099,5.74161110,4.64566850
3.28895758,3.88382576,-0.13223651,0.21412435,-0.12233428,5.78182970,4.63657568
3.33888084,3.93264109,-0.12177728,0.20789728,-0.12706038,5.82169070,4.62718276
3.38881922,3.98153660,-0.11162488,0.20150110,-0.12917443,5.86120150,4.61781290
3.43874450,4.03048373,-0.10179064,0.19506014,-0.12877252,5.90036940,4.60839764
3.48868639,4.07950938,-0.09226817,0.18868562,-0.12657919,5.93920130,4.59898161
3.53861569,4.12858188,-0.08305809,0.18244115,-0.12348407,5.97770400,4.58965866
3.58855989,4.17772489,-0.07414813,0.17635716,-0.12021400,6.01588380,4.58033988
3.63849165,4.22690825,-0.06553549,0.17044380,-0.11658011,6.05374700,4.57108313
3.68843762,4.27615493,-0.05720697,0.16470480,-0.11328789,6.09129980,4.56181352
3.73837182,4.32543633,-0.04915909,0.15913823,-0.10961259,6.12854790,4.55261053
3.78831902,4.37477388,-0.04137908,0.15374709,-0.10631203,6.16549700,4.54337438
3.83825564,4.42414158,-0.03386273,0.14852922,-0.10262155,6.20215260,4.53424098
3.88820352,4.47355831,-0.02659785,0.14348688,-0.09932365,6.23852010,4.52506550
3.93814220,4.52300135,-0.01957949,0.13861772,-0.09564559,6.27460460,4.51598029
3.98809035,4.57248674,-0.01279611,0.13392336,-0.09235580,6.31041100,4.50684823
4.03803082,4.62199527,-0.00624206,0.12940120,-0.08871846,6.34594430,4.49782733
4.08797890,4.67153991,0.00009352,0.12505238,-0.08543885,6.38120920,4.48874500
4.13792083,4.72110502,0.00621686,0.12087405,-0.08186838,6.41621010,4.47975653
4.18786868,4.77070065,0.01213819,0.11686667,-0.07861129,6.45095160,4.47073315
4.23781179,4.82031442,0.01786421,0.11302727,-0.07512543,6.48543800,4.46177920
4.28775940,4.86995381,0.02340452,0.10935562,-0.07190618,6.51967330,4.45279279
4.33770345,4.91960924,0.02876615,0.10584849,-0.06852630,6.55366180,4.44388257
4.38765096,4.96928616,0.03395815,0.10250517,-0.06535506,6.58740740,4.43494438
4.43759579,5.01897711,0.03898769,0.09932196,-0.06210698,6.62091390,4.42604317
4.48754351,5.06868628,0.04386335,0.09629754,-0.05900271,6.65418500,4.41714681
4.53748901,5.11840741,0.04859229,0.09342794,-0.05590120,6.68722450,4.40829008
4.58743691,5.16814393,0.05318261,0.09071105,-0.05289213,6.72003580,4.39942494
4.63738303,5.21789063,0.05764135,0.08814273,-0.04994797,6.75262240,4.39061219
4.68733087,5.26765002,0.06197613,0.08571995,-0.04706718,6.78498770,4.38178467
4.73727760,5.31741835,0.06619382,0.08343861,-0.04428170,6.81713490,4.37301753
4.78722527,5.36719683,0.07030151,0.08129480,-0.04156170,6.84906740,4.36423176
4.83717263,5.41698342,0.07430582,0.07928409,-0.03895119,6.88078810,4.35549022
4.88712007,5.46677778,0.07821328,0.07740189,-0.03641557,6.91230010,4.34673743
4.93706800,5.51657965,0.08203019,0.07564368,-0.03398722,6.94360640,4.33803855
4.98701524,5.56638725,0.08576251,0.07400410,-0.03166390,6.97470990,4.32932197
5.03696374,5.61620195,0.08941614,0.07247832,-0.02943190,7.00561340,4.32065445
5.08691069,5.66602041,0.09299642,0.07106074,-0.02732976,7.03631960,4.31198630
5.13685940,5.71584547,0.09650882,0.06974613,-0.02531048,7.06683130,4.30335787
5.18680632,5.76567315,0.09995811,0.06852848,-0.02344521,7.09715120,4.29470193
5.23675572,5.81550730,0.10334921,0.06740242,-0.02164513,7.12728160,4.28609986
5.28670251,5.86534248,0.10668625,0.06636303,-0.01997205,7.15722530,4.27749031
5.33665258,5.91518425,0.10997380,0.06540567,-0.01836464,7.18698460,4.26909239
5.38659522,5.96502160,0.11321515,0.06451525,-0.01728850,7.21656190,4.26059049
5.43654407,6.01486792,0.11641385,0.06366450,-0.01678182,7.24595960,4.25224620
5.48648212,6.06470612,0.11957010,0.06281877,-0.01708265,7.27517990,4.24376780
5.53643000,6.11455682,0.12268444,0.06194433,-0.01793765,7.30422520,4.23521763
5.58636912,6.16440154,0.12575358,0.06102987,-0.01867898,7.33309750,4.22672211
5.63631728,6.21425812,0.12877676,0.06009601,-0.01872000,7.36179920,4.21816008
5.68625873,6.26411082,0.13175293,0.05917627,-0.01810795,7.39033220,0.07487279
5.73620692,6.31397291,0.13468441,0.05830790,-0.01666669,7.36281120,-7.85321290
5.78615033,6.36383265,0.13757410,0.05753154,-0.01442011,7.28378730,-11.38975811
5.83609810,6.41369881,0.14042813,0.05688845,-0.01133211,7.20661000,-11.19560513
5.88604399,6.46356471,0.14325383,0.05642091,-0.00738916,7.12860060,-11.35230047
