x,y,yaw,curvature,speed
0.195000,0.585000,-1.570796,0.000000,1.000
0.195000,0.485000,-1.570780,0.000335,1.000
0.195003,0.385000,-1.570117,0.012927,1.000
0.195136,0.285000,-1.561178,0.165858,1.000
0.196927,0.185020,-1.514728,0.764406,1.000
0.206333,0.085506,-1.416607,1.203035,1.000
0.227575,-0.012172,-1.277540,1.597151,1.000
0.263839,-0.104934,-0.953796,5.246716,1.000
0.338474,-0.168501,-0.464541,5.092847,1.000
0.435222,-0.190816,-0.080901,2.974801,1.000
0.534779,-0.184417,0.098061,0.678209,1.000
0.633896,-0.171271,0.092961,-0.779223,1.000
0.733715,-0.165871,0.031125,-0.458789,1.000
0.833709,-0.165050,0.004349,-0.077099,1.000
0.933709,-0.165001,0.000251,-0.004867,1.000
1.033709,-0.165000,0.000004,-0.000076,1.000
1.133709,-0.165000,0.000000,0.000000,1.000
1.233709,-0.165000,0.000000,0.000000,1.000
1.333709,-0.165000,0.000000,0.000000,1.000
1.433709,-0.165000,0.000000,0.000000,1.000
1.533709,-0.165000,0.000000,0.000000,1.000
1.633709,-0.165000,0.000000,0.000000,1.000
1.733709,-0.165000,0.000013,0.000259,1.000
1.833709,-0.164997,0.000555,0.010576,1.000
1.933709,-0.164889,0.008081,0.139966,1.000
2.033693,-0.163381,0.048487,0.669140,1.000
2.133305,-0.155204,0.129157,0.946907,1.000
2.231727,-0.137661,0.167242,-0.183025,1.000
2.330439,-0.121924,0.108925,-0.985818,1.000
2.430214,-0.115955,0.036578,-0.463734,1.000
2.530204,-0.114613,0.025764,0.247125,1.000
2.630110,-0.110803,0.084444,0.928803,1.000
2.729189,-0.097770,0.158301,0.550567,1.000
2.827461,-0.079299,0.149035,-0.736529,1.000
2.926761,-0.068105,0.070249,-0.841446,1.000
3.026703,-0.065279,0.017628,-0.212850,1.000
3.126700,-0.064580,0.023318,0.326771,1.000
3.226592,-0.060617,0.100321,1.219094,1.000
3.325136,-0.044606,0.232312,1.431803,1.000
3.420504,-0.014741,0.307658,0.083529,1.000
3.515644,0.015927,0.267012,-0.898231,1.000
3.613151,0.037956,0.210909,-0.225697,1.000
3.711163,0.057787,0.189033,-0.212022,1.000
3.809539,0.075529,0.128933,-0.992579,1.000
3.909168,0.083459,0.046889,-0.651310,1.000
4.009153,0.084895,0.007696,-0.133489,1.000
4.109153,0.084998,0.000523,-0.009980,1.000
4.209153,0.085000,0.000012,-0.000240,1.000
4.309153,0.085000,0.000000,0.000000,1.000
4.409153,0.085000,0.000000,0.000000,1.000
4.509153,0.085000,0.000000,0.000000,1.000
4.609153,0.085000,0.000000,0.000000,1.000
4.709153,0.085000,0.000000,0.000000,1.000
4.809153,0.085000,0.000000,0.000000,1.000
4.909153,0.085000,-0.000005,-0.000095,1.000
5.009153,0.084999,-0.000283,-0.005463,1.000
5.109153,0.084943,-0.004776,-0.084402,1.000
5.209146,0.084044,-0.033973,-0.500029,1.000
5.308927,0.078154,-0.108027,-0.983713,1.000
5.407655,0.062516,-0.162893,-0.116080,1.000
5.506192,0.045734,-0.097505,1.432485,1.000
5.605972,0.043117,0.057159,1.678413,1.000
5.704914,0.057105,0.159176,0.374890,1.000
5.803316,0.074798,0.131489,-0.930371,1.000
5.902905,0.083289,0.050485,-0.692285,1.000
6.002888,0.084882,0.008539,-0.147666,1.000
6.102888,0.084997,0.000592,-0.011285,1.000
6.202888,0.085000,0.000014,-0.000282,1.000
6.302888,0.085000,0.000000,0.000000,1.000
6.402888,0.085000,0.000000,0.000000,1.000
6.502888,0.085000,0.000000,0.000000,1.000
6.602888,0.085000,0.000000,0.000000,1.000
6.702888,0.085000,0.000000,0.000000,1.000
6.802888,0.085000,0.000000,0.000000,1.000
6.902888,0.085000,0.000003,0.000053,1.000
7.002888,0.085001,0.000213,0.004159,1.000
7.102888,0.085043,0.003932,0.070226,1.000
7.202883,0.085787,0.030277,0.457023,1.000
7.302707,0.091094,0.102963,0.999387,1.000
7.401501,0.106310,0.167242,0.288704,1.000
7.499840,0.124374,0.135022,-0.935050,1.000
7.599404,0.133195,0.052569,-0.716666,1.000
7.699386,0.134874,0.009037,-0.155064,1.000
7.799386,0.135002,0.001511,0.004528,1.000
7.899385,0.135176,0.011785,0.200991,1.000
7.999350,0.137359,0.071407,0.994747,1.000
8.098495,0.149418,0.180162,1.186110,1.000
8.195634,0.173109,0.223611,-0.312303,1.000
8.293470,0.193758,0.218045,0.200920,1.000
8.390871,0.216368,0.260231,0.643715,1.000
8.486577,0.245176,0.409315,2.380492,1.000
8.572473,0.295149,0.695719,3.475319,1.000
8.637054,0.370824,0.978082,2.303516,1.000
8.683098,0.459406,1.136899,0.910877,1.000
8.720976,0.551947,1.194083,0.235928,1.000
8.756659,0.645349,1.251974,0.924468,1.000
8.783564,0.741560,1.357447,1.190437,1.000
8.798907,0.840360,1.409533,-0.144096,1.000
8.815672,0.938929,1.393368,-0.179263,1.000
8.834201,1.037187,1.423511,0.783232,1.000
8.844995,1.136583,1.470190,0.151428,1.000
8.854285,1.236145,1.476052,-0.034155,1.000
8.863914,1.335665,1.533400,1.185101,1.000
8.861747,1.435596,1.586068,-0.128212,1.000
8.860862,1.535521,1.502082,-1.559932,1.000
8.875431,1.634418,1.426865,0.046682,1.000
8.889539,1.733386,1.485170,1.122864,1.000
8.892502,1.833298,1.598479,1.150367,1.000
8.884015,1.932883,1.705054,0.986883,1.000
8.865772,2.031194,1.737890,-0.327847,1.000
8.850764,2.130022,1.671423,-1.003998,1.000
8.845713,2.229864,1.599450,-0.438126,1.000
8.845037,2.329861,1.574359,-0.064008,1.000
8.845000,2.429861,1.570979,-0.003586,1.000
8.845000,2.529861,1.570913,0.002258,1.000
8.844977,2.629861,1.573457,0.048629,1.000
8.844468,2.729859,1.595549,0.393420,1.000
8.840029,2.829738,1.674770,1.195877,1.000
8.823760,2.928304,1.814676,1.616873,1.000
8.791947,3.022967,1.986509,1.847567,1.000
8.743485,3.110152,2.171572,1.886819,1.000
8.679648,3.186842,2.349162,1.695162,1.000
8.603785,3.251831,2.500714,1.355871,1.000
8.519854,3.306033,2.611831,0.874706,1.000
8.431467,3.352740,2.692403,0.740142,1.000
8.339895,3.392783,2.815511,1.738307,1.000
8.243007,3.416468,3.051067,3.049785,1.000
8.143476,3.410613,-2.981714,2.040455,1.000
8.046894,3.384844,-2.853660,0.544296,1.000
7.951819,3.353851,-2.820986,0.109741,1.000
7.857090,3.321817,-2.804035,0.229315,1.000
7.763125,3.287621,-2.773268,0.386188,1.000
7.670548,3.249824,-2.757695,-0.074581,1.000
7.577689,3.212717,-2.741438,0.400217,1.000
7.486472,3.171964,-2.624290,1.965000,1.000
7.405055,3.114490,-2.392307,2.738567,1.000
7.341755,3.037340,-2.176752,1.632646,1.000
7.291667,2.950851,-2.070500,0.504955,1.000
7.245980,2.861901,-2.043262,0.040348,1.000
7.200652,2.772765,-2.052779,-0.230727,1.000
7.153283,2.684704,-2.093281,-0.579854,1.000
7.100899,2.599542,-2.152556,-0.606651,1.000
7.043454,2.517711,-2.209483,-0.532865,1.000
6.981734,2.439052,-2.271127,-0.701523,1.000
6.914684,2.364933,-2.359197,-1.064338,1.000
6.840201,2.298367,-2.516461,-2.109156,1.000
6.753709,2.248759,-2.762882,-2.900147,1.000
6.656869,2.225415,-2.964036,-1.183358,1.000
6.557585,2.213566,-3.003864,0.378975,1.000
6.458815,2.197964,-3.012360,-0.549374,1.000
6.359384,2.187808,-3.077972,-0.764283,1.000
6.259432,2.185261,-3.127598,-0.229586,1.000
6.159433,2.185010,-3.140191,-0.022333,1.000
6.059433,2.184981,-3.139306,0.040030,1.000
5.959434,2.184552,-3.120480,0.336639,1.000
5.859528,2.180760,-3.054981,0.976123,1.000
5.760521,2.167281,-2.963473,0.857630,1.000
5.662966,2.145373,-2.912279,0.168242,1.000
5.565779,2.121824,-2.909468,-0.112001,1.000
5.468339,2.099367,-2.932917,-0.357078,1.000
5.370160,2.080400,-2.947501,0.065282,1.000
5.272104,2.060793,-2.956690,-0.249216,1.000
5.173630,2.043642,-3.018885,-0.997336,1.000
5.073953,2.036356,-3.098785,-0.603645,1.000
4.973966,2.035089,-3.134823,-0.117919,1.000
4.873966,2.035002,-3.141209,-0.009800,1.000
4.773966,2.035013,3.140001,-0.029720,1.000
4.673967,2.035320,3.125242,-0.265556,1.000
4.574030,2.038282,3.069165,-0.857951,1.000
4.474767,2.049773,2.991059,-0.706438,1.000
4.376494,2.068245,2.984795,0.580733,1.000
4.277380,2.080979,3.059703,0.919677,1.000
4.177467,2.084579,3.121570,0.319999,1.000
4.077468,2.084982,3.139435,0.037449,1.000
3.977468,2.085011,3.140002,-0.026120,1.000
3.877469,2.085301,3.124756,-0.278896,1.000
3.777541,2.088377,3.051902,-1.184161,1.000
3.678853,2.103163,2.880032,-2.289328,1.000
3.586120,2.139619,2.670542,-1.946291,1.000
3.501860,2.193303,2.543519,-0.616617,1.000
3.420993,2.252122,2.491373,-0.427656,1.000
3.342735,2.314326,2.427264,-0.856372,1.000
3.270081,2.382976,2.366264,-0.365313,1.000
3.199953,2.454261,2.361884,0.277505,1.000
3.127874,2.523573,2.362415,-0.266961,1.000
3.057689,2.594766,2.308012,-0.822527,1.000
2.993579,2.671476,2.246544,-0.408357,1.000
2.932637,2.750759,2.237678,0.230856,1.000
2.869893,2.828599,2.298220,0.982817,1.000
2.799879,2.899877,2.420966,1.482632,1.000
2.720171,2.960081,2.581201,1.745554,1.000
2.631422,3.005583,2.787408,2.427449,1.000
2.534453,3.028756,2.996165,1.795613,1.000
2.434662,3.034401,3.110465,0.507877,1.000
2.334664,3.034977,3.138596,0.055271,1.000
2.234664,3.035000,3.141476,0.002331,1.000
2.134664,3.035000,3.141593,0.000000,1.000
2.034664,3.035000,3.141593,-0.000000,1.000
1.934664,3.035000,3.141593,0.000000,1.000
1.834664,3.035000,3.141593,-0.000000,1.000
1.734664,3.035000,3.141593,0.000000,1.000
1.634664,3.035000,3.141593,-0.000000,1.000
1.534664,3.035000,3.141593,-0.000000,1.000
1.434664,3.035000,3.141593,0.000000,1.000
1.334664,3.035000,3.141593,-0.000000,1.000
1.234664,3.035000,-3.141589,0.000069,1.000
1.134664,3.034999,-3.141352,0.004668,1.000
1.034664,3.034952,-3.137327,0.075834,1.000
0.934670,3.034146,-3.109634,0.478461,1.000
0.834868,3.028565,-3.032544,1.066722,1.000
0.736239,3.012421,-2.944229,0.703272,1.000
0.638932,2.989384,-2.896637,0.249747,1.000
0.542234,2.963925,-2.852196,0.639854,1.000
0.447381,2.932348,-2.728981,1.845903,1.000
0.360210,2.884246,-2.399210,5.074989,1.000
0.305599,2.802268,-1.990876,3.433167,1.000
0.280411,2.705591,-1.799469,0.524333,1.000
0.260302,2.607647,-1.731530,0.837124,1.000
0.248445,2.508431,-1.645356,0.889325,1.000
0.245426,2.408499,-1.581510,0.389913,1.000
0.246303,2.308509,-1.531306,0.615201,1.000
0.253316,2.208812,-1.453813,0.937185,1.000
0.269610,2.110181,-1.420688,-0.272805,1.000
0.283200,2.011225,-1.527053,-1.873018,1.000
0.278302,1.911612,-1.687739,-1.361736,1.000
0.259952,1.813333,-1.756903,-0.030365,1.000
0.241300,1.715090,-1.762664,-0.084864,1.000
0.221815,1.617010,-1.757192,0.194391,1.000
0.204246,1.518605,-1.697974,0.992574,1.000
0.196491,1.418963,-1.616576,0.638360,1.000
0.195100,1.318977,-1.578241,0.129259,1.000
0.195002,1.218977,-1.571299,0.009591,1.000
0.195000,1.118977,-1.570808,0.000227,1.000
0.195000,1.018977,-1.570796,0.000000,1.000
0.195000,0.918977,-1.570796,0.000000,1.000
0.195000,0.818977,-1.570796,0.000000,1.000
0.195000,0.718977,-1.570796,0.000000,1.000
0.195000,0.618977,-1.570796,0.000000,1.000
